"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"431","Cameron Payne",283,85,108,36,6,164,5,44,57,2.29702205285833,2021520,"PG"
"432","Russell Westbrook",1878,626,834,163,20,788,108,342,80,10.7583286212514,16744218,"PG"
"433","Chris Paul",1446,310,738,152,13,599,34,194,74,7.86250657326047,21468696,"PG"
"434","Pablo Prigioni",145,114,130,53,1,92,1,49,59,2.14541425579396,981348,"PG"
"435","Brian Roberts",60,12,16,3,1,27,2,7,21,0.975024289274556,2854940,"PG"
"436","Damian Lillard",1879,302,512,65,28,856,50,242,75,8.01147758266962,4236287,"PG"
"437","Tim Frazier",51,39,42,10,1,40,7,27,35,1.39615130480923,845059,"PG"
"438","Deron Williams",918,190,378,61,14,454,27,150,65,5.58527865668755,5500000,"PG"
"439","Devin Harris",487,138,118,60,13,207,39,66,64,3.51095653337632,4053000,"PG"
"440","J.J. Barea",808,152,302,26,2,394,22,113,74,3.63271496073944,4000000,"PG"
"441","Raymond Felton",763,258,284,68,15,405,27,121,80,4.30692876788388,3950313,"PG"
"442","Bryce Cotton",4,0,0,0,0,0,0,0,5,0.0477937118590917,64622,"PG"
"443","Elliot Williams",8,4,4,0,0,8,1,1,5,0.876749459903794,55722,"PG"
"444","Jordan Farmar",110,25,37,15,2,58,0,18,12,3.86165987048906,191456,"PG"
"445","Mario Chalmers",595,143,211,80,12,240,43,101,55,5.08821315932663,4300000,"PG"
"446","Mike Conley",857,164,342,67,16,402,38,84,56,5.88925061819727,9588426,"PG"
"447","Russ Smith",23,9,11,5,1,15,5,7,15,1.24933217986083,816482,"PG"
"448","Andrew Goudelock",22,2,4,6,2,11,1,7,8,1.77554756239492,200600,"PG"
"449","Patrick Beverley",700,250,239,94,26,336,28,91,71,4.84308998276625,6500000,"PG"
"450","Erick Green",13,5,2,1,0,7,0,0,6,0.66440642592712,99418,"PG"
"451","Raul Neto",476,120,174,62,2,238,18,109,81,2.70167504404635,1000000,"PG"
